OBJECTID,DATE_REPORTED,KPI_GROUP1,OVERALL_TESTED_TST,TOTAL_RESIDENTS_TESTED_TST,TOTAL_POSITIVES_TST,NO_DEATH_TST,NO_RECOVERED_TST,KPI_GROUP2,TOTAL_ICU_BEDS_HOS,ICU_BEDS_AVAILABLE_HOS,TOTAL_VENTILATORS_HOS,VENTILATORS_IN_USE_HOS,VENTILATORS_AVAILABLE_HOS,TOTAL_COVID19_PATIS_DCHOS_HOS,TOTAL_COVID19_PATIENTS_ICU_HOS,TOTAL_COVID19_NON_DCHOS_HOS,KPI_GROUP3,TOTAL_POSITIVE_FEMS,TOTAL_POSITIVE_OUT_FEMS,PERSON_RETRND_TO_WORK_FEMS,PERSON_QUARANTINE_FEMS,OUT_POSITIVE_QUARANTINE_FEMS,RETURND_TO_WORK_FEMS,KPI_GROUP4,TOTAL_POSITIVE_PSMPD,TOTAL_POSITIVE_OUT_PSMPD,RECOVRD_RETURND_TO_WORK_PSMPD,PERSON_QUARANTINE_PSMPD,OUT_POSITIVE_QUARANTINE_PSMPD,RETURND_TO_WORK_PSMPD,LIVE_LOST_MPD,KPI_GROUP5,TOTAL_POSITIVE_PSDP,TOTAL_POSITIVE_OUT_PSDP,RECOVRD_RETURND_TO_WORK_PSDP,PERSON_QUARANTINE_PSDP,OUT_POSITIVE_QUARANTINE_PSDP,RETURND_TO_WORK_PSDP,LIVE_LOST_PERSONNEL_PSDP,KPI_GROUP6,TOTAL_POSITIVE_PSDR,TOTAL_POSITIVE_ISO_PSDR,RECOVRD_RES_PSDR,RES_QUARANTINE_PSDR,OUT_POSITIVE_QUARANTINE_PSDR,RETURND_TO_GP_PSDR,LIVE_LOST_RES_PSDR,KPI_GROUP7,TOTAL_POSITIVE_PSDYP,TOTAL_POSITIVE_OUT_PSDYP,RETURND_TO_WORK_PSDYP,PERSON_QUARANTINE_PSDYP,OUT_POSITIVE_QUARANTINE_PSDYP,RETURND_PER_TO_WORK_PSDYP,LIVE_LOST_PERSONNEL_PSDYP,KPI_GROUP8,TOTAL_POSITIVE_PSDYR,TOTAL_POSITIVE_OUT_PSDYR,RECOVRD_RES_PSDYR,RES_QUARANTINE_PSDYR,OUT_POSITIVE_QUARANTINE_PSDYR,NO_LONGER_ISO_QUAR_PSDYR,RETURND_TO_GP_PSDYR,KPI_GROUP9,TOTAL_POSITIVE_PSOUCP,TOTAL_POSITIVE_OUT_PSOUCP,RETURND_TO_WORK_PSOUCP,PERSON_QUARANTINE_PSOUCP,OUT_POSITIVE_QUARANTINE_PSOUCP,RETURND_PER_TO_WORK_PSOUCP,KPI_GROUP10,TOTAL_REMOTE_QTRN_SHELTER_DHS,TOTAL_REMOTE_QRTN_DHS,REMOTE_QUARN_SHELTER_DHS,LIVE_LOST_DHS,KPI_GROUP11,TOTAL_POSITIVE_SEHP,PERSON_QUARANTINE_SEHP,POSITIVE_OUT_QUARN_SEHP,RETURND_TO_WORK_SEHP,LIVE_LOST_SEHP,KPI_GROUP12,IIC_QRNT_ISLTD_POSITIVE_SEHI,IIC_QRNT_ISLTD_EXPO_SYM_SEHI,TOTAL_IIC_ISLD_QTRN_SEHI,TOTAL_RES_NOT_ISLTD_QRTN_SEHI,LIVE_LOST_SEHI,KPI_GROUP13,DDA_POSITIVE_HSDDS,DDA_RECOVERED_HSDDS,DDA_LIVE_LOST_HSDDS,KPI_GROUP14,TOTAL_POSITIVE_CFSA,PERSON_QUARANTINE_CFSA,RETURND_TO_WORK_CFSA,LIVE_LOST_CFSA,KPI_GROUP15,TOTAL_POSITIVE_DMVP,TOTAL_POSITIVE_OUT_DMVP,RECOVERED_RETURNED_WRK_DMVP,TOTAL_QUARN_DMVP,POSITIVE_OUT_QUARN_DMVP,RETURNED_TO_WORK_DMVP,LIVE_LOST_DMVP,KPI_GROUP16,TOTAL_POSITIVE_CONF_DCPSPWIP,TOTAL_RPRTD_PENDCONF_DCPSPWIP,TOTAL_CURR_QUARN_DCPSPWIP,KPI_GROUP17,TOTAL_POSITIVE_CONF_DCPSSPIPA,TOTAL_RPRTD_PENDCONF_DCPSSPIPA,TOTAL_CURR_QUARN_DCPSSPIPA
288,2020/12/19 00:00:00+00,Testing,829299,342101,26601,737,18989,Hospitals,345,45,440,207,233,235,72,2050,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,392,181,128,23,Saint Elizabeths Hospital (SEH-Personnel) ,187,25,49,313,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),89,4,197,55,14,Human Services - DDS,324,225,41,Human Services - CFSA,18,10,70,1,DMV Personnel,18,5,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
289,2020/12/20 00:00:00+00,Testing,834138,343167,26740,742,19067,Hospitals,345,56,440,198,242,238,79,1992,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,393,239,133,23,Saint Elizabeths Hospital (SEH-Personnel) ,187,25,49,313,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),89,3,195,55,14,Human Services - DDS,324,225,42,Human Services - CFSA,18,10,70,1,DMV Personnel,18,5,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
290,2020/12/21 00:00:00+00,Testing,840202,344362,26900,744,19275,Hospitals,345,54,440,188,252,256,76,2002,Public Safety - FEMS,263,44,219,92,136,3159,Public Safety - MPD,439,110,328,138,248,2202,1,Public Safety - DOC - Personnel,138,19,118,0,19,340,1,Public Safety - DOC -Residents,223,4,209,57,61,1400,1,Public Safety - DYRS - Personnel,39,0,38,0,0,199,1,Public Safety - DYRS -Residents,17,0,17,93,93,0,0,Public Safety - OUC -Personnel,23,2,21,3,5,96,Human Services - DHS,393,238,137,23,Saint Elizabeths Hospital (SEH-Personnel) ,193,24,53,313,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),89,3,195,55,14,Human Services - DDS,325,225,42,Human Services - CFSA,18,10,70,1,DMV Personnel,18,5,11,9,11,3,2,DCPS Personnel Working In-Person,29,,53,DCPS Students Particpating in In-Person Activities,12,,92
291,2020/12/22 00:00:00+00,Testing,849992,346694,27226,751,19514,Hospitals,345,43,440,185,255,253,76,2104,Public Safety - FEMS,267,48,219,82,130,3167,Public Safety - MPD,444,112,331,142,254,2208,1,Public Safety - DOC - Personnel,139,18,120,0,18,342,1,Public Safety - DOC -Residents,224,4,209,54,59,1406,1,Public Safety - DYRS - Personnel,39,0,38,0,0,199,1,Public Safety - DYRS -Residents,17,0,17,92,92,0,0,Public Safety - OUC -Personnel,23,2,21,3,5,96,Human Services - DHS,393,194,126,23,Saint Elizabeths Hospital (SEH-Personnel) ,195,26,55,313,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),90,4,198,55,14,Human Services - DDS,325,225,43,Human Services - CFSA,18,10,70,1,DMV Personnel,18,5,11,9,11,3,2,DCPS Personnel Working In-Person,29,,53,DCPS Students Particpating in In-Person Activities,15,,94
292,2020/12/23 00:00:00+00,Testing,856781,348189,27436,756,19740,Hospitals,345,56,440,189,251,250,72,2120,Public Safety - FEMS,267,45,222,71,116,3190,Public Safety - MPD,444,111,332,134,245,2216,1,Public Safety - DOC - Personnel,140,16,123,0,16,345,1,Public Safety - DOC -Residents,224,4,209,56,61,1399,1,Public Safety - DYRS - Personnel,39,0,38,0,0,199,1,Public Safety - DYRS -Residents,17,0,17,92,92,0,0,Public Safety - OUC -Personnel,23,1,22,3,4,97,Human Services - DHS,394,,,23,Saint Elizabeths Hospital (SEH-Personnel) ,197,20,57,313,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),90,4,201,55,14,Human Services - DDS,328,225,43,Human Services - CFSA,18,10,70,1,DMV Personnel,19,6,11,9,11,3,2,DCPS Personnel Working In-Person,30,,56,DCPS Students Particpating in In-Person Activities,15,,94
293,2020/12/24 00:00:00+00,Testing,864407,349775,27710,762,19883,Hospitals,345,60,440,191,249,244,70,1943,Public Safety - FEMS,,,,,,,Public Safety - MPD,450,105,344,102,207,2287,1,Public Safety - DOC - Personnel,143,19,123,0,19,345,1,Public Safety - DOC -Residents,224,5,209,63,68,1394,1,Public Safety - DYRS - Personnel,39,0,38,0,0,199,1,Public Safety - DYRS -Residents,17,0,17,93,93,0,0,Public Safety - OUC -Personnel,23,1,22,3,4,97,Human Services - DHS,395,194,126,23,Saint Elizabeths Hospital (SEH-Personnel) ,197,20,57,313,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),90,4,201,55,14,Human Services - DDS,328,225,43,Human Services - CFSA,18,10,70,1,DMV Personnel,19,6,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
294,2020/12/25 00:00:00+00,Testing,,,,,,Hospitals,,,,,,,,,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,395,162,95,23,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
295,2020/12/26 00:00:00+00,Testing,882847,353493,28202,768,20040,Hospitals,345,65,440,181,259,232,65,1744,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,406,164,97,23,Saint Elizabeths Hospital (SEH-Personnel) ,197,20,57,313,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),90,4,201,55,14,Human Services - DDS,328,225,43,Human Services - CFSA,18,10,70,1,DMV Personnel,19,6,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
296,2020/12/27 00:00:00+00,Testing,885875,354046,28342,771,20143,Hospitals,345,82,440,207,233,232,71,1792,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,406,173,99,23,Saint Elizabeths Hospital (SEH-Personnel) ,197,20,57,313,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),90,4,201,55,14,Human Services - DDS,328,225,43,Human Services - CFSA,18,10,70,1,DMV Personnel,19,6,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
297,2020/12/28 00:00:00+00,Testing,888992,355136,28535,775,20316,Hospitals,345,62,440,173,267,233,72,1896,Public Safety - FEMS,277,44,233,142,186,3126,Public Safety - MPD,465,112,352,93,205,2305,1,Public Safety - DOC - Personnel,125,18,125,0,18,347,1,Public Safety - DOC -Residents,225,3,212,74,77,1398,1,Public Safety - DYRS - Personnel,46,7,38,5,7,199,1,Public Safety - DYRS -Residents,35,17,17,23,40,0,0,Public Safety - OUC -Personnel,23,1,22,3,4,97,Human Services - DHS,407,130,88,23,Saint Elizabeths Hospital (SEH-Personnel) ,197,20,57,317,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),90,4,201,55,14,Human Services - DDS,332,225,43,Human Services - CFSA,18,10,70,1,DMV Personnel,19,6,11,9,11,3,2,DCPS Personnel Working In-Person,39,,59,DCPS Students Particpating in In-Person Activities,15,,74
298,2020/12/29 00:00:00+00,Testing,892764,356131,28758,780,20587,Hospitals,345,56,440,188,252,240,71,2039,Public Safety - FEMS,286,52,233,88,140,3126,Public Safety - MPD,470,113,356,93,206,2307,1,Public Safety - DOC - Personnel,145,19,125,0,19,347,1,Public Safety - DOC -Residents,226,4,212,71,75,1400,1,Public Safety - DYRS - Personnel,46,6,39,10,16,200,1,Public Safety - DYRS -Residents,34,17,17,23,40,0,0,Public Safety - OUC -Personnel,23,1,22,4,5,99,Human Services - DHS,410,138,88,23,Saint Elizabeths Hospital (SEH-Personnel) ,202,19,50,325,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),91,5,203,55,14,Human Services - DDS,334,235,43,Human Services - CFSA,18,10,70,1,DMV Personnel,19,6,11,9,11,3,2,DCPS Personnel Working In-Person,50,,56,DCPS Students Particpating in In-Person Activities,15,,53
299,2020/12/30 00:00:00+00,Testing,897439,357138,28983,786,20770,Hospitals,345,50,440,196,244,234,72,2078,Public Safety - FEMS,287,50,237,179,229,3139,Public Safety - MPD,471,114,356,96,210,2304,1,Public Safety - DOC - Personnel,146,17,128,0,17,350,1,Public Safety - DOC -Residents,226,3,213,158,161,1472,1,Public Safety - DYRS - Personnel,47,7,39,5,11,200,1,Public Safety - DYRS -Residents,36,19,17,23,42,0,0,Public Safety - OUC -Personnel,23,1,22,1,2,101,Human Services - DHS,410,142,88,23,Saint Elizabeths Hospital (SEH-Personnel) ,202,21,51,324,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),91,5,203,55,14,Human Services - DDS,338,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,19,6,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
300,2020/12/31 00:00:00+00,Testing,904302,358551,29252,788,20941,Hospitals,345,77,440,202,238,226,63,2017,Public Safety - FEMS,297,59,238,78,137,3171,Public Safety - MPD,478,109,368,69,178,2342,1,Public Safety - DOC - Personnel,148,18,129,0,18,351,1,Public Safety - DOC -Residents,227,4,213,168,172,1318,1,Public Safety - DYRS - Personnel,47,7,39,11,18,200,1,Public Safety - DYRS -Residents,36,19,17,23,42,0,0,Public Safety - OUC -Personnel,23,1,22,1,2,101,Human Services - DHS,411,117,62,23,Saint Elizabeths Hospital (SEH-Personnel) ,202,21,51,324,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),91,5,203,55,14,Human Services - DDS,340,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,19,6,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
301,2021/01/01 00:00:00+00,Testing,911378,360024,29509,792,21002,Hospitals,345,54,440,210,230,237,70,1929,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,412,131,83,23,Saint Elizabeths Hospital (SEH-Personnel) ,202,21,51,324,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),91,3,203,55,14,Human Services - DDS,340,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,20,7,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
302,2021/01/02 00:00:00+00,Testing,918000,361495,29764,794,21072,Hospitals,345,48,440,208,232,245,69,1924,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,412,137,90,23,Saint Elizabeths Hospital (SEH-Personnel) ,202,21,51,324,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),91,3,203,74,14,Human Services - DDS,340,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,20,7,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
303,2021/01/03 00:00:00+00,Testing,921119,362057,29904,797,21127,Hospitals,345,48,440,202,238,251,71,1921,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,414,127,79,23,Saint Elizabeths Hospital (SEH-Personnel) ,202,21,51,324,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),92,4,203,74,14,Human Services - DDS,340,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,20,7,11,9,11,3,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
304,2021/01/04 00:00:00+00,Testing,926717,363380,30166,801,21337,Hospitals,345,48,440,197,243,260,72,1981,Public Safety - FEMS,302,56,246,121,177,3188,Public Safety - MPD,491,119,371,104,223,2317,1,Public Safety - DOC - Personnel,152,21,130,0,21,352,1,Public Safety - DOC -Residents,227,3,215,179,182,1314,1,Public Safety - DYRS - Personnel,54,14,39,20,34,200,1,Public Safety - DYRS -Residents,36,19,17,35,54,0,0,Public Safety - OUC -Personnel,30,6,24,9,15,98,Human Services - DHS,415,117,79,23,Saint Elizabeths Hospital (SEH-Personnel) ,204,12,52,325,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),92,5,203,74,14,Human Services - DDS,341,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,20,7,11,9,11,3,2,DCPS Personnel Working In-Person,48,,43,DCPS Students Particpating in In-Person Activities,16,,11
305,2021/01/05 00:00:00+00,Testing,932102,364755,30482,806,21461,Hospitals,345,44,440,212,228,265,69,2079,Public Safety - FEMS,312,63,249,117,180,3209,Public Safety - MPD,495,116,378,97,213,2329,1,Public Safety - DOC - Personnel,152,19,132,0,19,354,1,Public Safety - DOC -Residents,227,3,214,181,184,1494,1,Public Safety - DYRS - Personnel,55,15,39,20,35,200,1,Public Safety - DYRS -Residents,36,19,17,35,54,0,0,Public Safety - OUC -Personnel,30,6,24,9,15,98,Human Services - DHS,418,129,81,23,Saint Elizabeths Hospital (SEH-Personnel) ,204,12,52,325,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),92,5,203,74,14,Human Services - DDS,346,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,20,7,11,9,11,3,2,DCPS Personnel Working In-Person,50,,37,DCPS Students Particpating in In-Person Activities,17,,14
306,2021/01/06 00:00:00+00,Testing,937035,366027,30750,808,21660,Hospitals,345,36,440,215,225,278,63,2032,Public Safety - FEMS,316,65,249,123,188,3210,Public Safety - MPD,498,106,391,84,190,2356,1,Public Safety - DOC - Personnel,152,19,132,0,19,354,1,Public Safety - DOC -Residents,227,3,214,168,171,1322,1,Public Safety - DYRS - Personnel,55,14,40,24,38,201,1,Public Safety - DYRS -Residents,37,20,17,33,53,0,0,Public Safety - OUC -Personnel,30,6,24,8,14,99,Human Services - DHS,420,142,83,23,Saint Elizabeths Hospital (SEH-Personnel) ,206,5,50,329,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),92,5,203,74,14,Human Services - DDS,346,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,20,7,11,9,11,3,2,DCPS Personnel Working In-Person,52,,27,DCPS Students Particpating in In-Person Activities,17,,16
307,2021/01/07 00:00:00+00,Testing,943818,367428,31107,809,21851,Hospitals,345,51,440,221,219,271,66,2213,Public Safety - FEMS,321,70,251,124,194,3229,Public Safety - MPD,502,105,296,77,182,2368,1,Public Safety - DOC - Personnel,155,22,132,0,22,354,1,Public Safety - DOC -Residents,228,4,214,169,173,1317,1,Public Safety - DYRS - Personnel,55,14,40,23,37,202,1,Public Safety - DYRS -Residents,37,18,19,35,53,0,0,Public Safety - OUC -Personnel,31,7,24,8,15,99,Human Services - DHS,420,140,74,23,Saint Elizabeths Hospital (SEH-Personnel) ,207,4,51,329,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),92,5,205,74,14,Human Services - DDS,348,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,21,8,11,9,11,3,2,DCPS Personnel Working In-Person,56,,35,DCPS Students Particpating in In-Person Activities,17,,8
308,2021/01/08 00:00:00+00,Testing,950762,368960,31457,813,22042,Hospitals,345,46,440,216,224,280,72,2204,Public Safety - FEMS,323,59,264,109,168,3265,Public Safety - MPD,509,98,410,71,169,2389,1,Public Safety - DOC - Personnel,155,20,134,0,20,356,1,Public Safety - DOC -Residents,228,4,214,154,158,1323,1,Public Safety - DYRS - Personnel,56,15,40,23,38,202,1,Public Safety - DYRS -Residents,37,18,19,33,51,0,0,Public Safety - OUC -Personnel,31,7,24,8,15,99,Human Services - DHS,425,153,94,23,Saint Elizabeths Hospital (SEH-Personnel) ,207,4,51,329,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),92,4,205,75,14,Human Services - DDS,349,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,21,2,17,3,2,46,2,DCPS Personnel Working In-Person,59,,35,DCPS Students Particpating in In-Person Activities,17,,17
309,2021/01/09 00:00:00+00,Testing,957350,370290,31791,817,22153,Hospitals,345,34,440,225,215,292,69,2143,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,427,148,89,23,Saint Elizabeths Hospital (SEH-Personnel) ,207,4,51,329,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),92,4,207,75,14,Human Services - DDS,350,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,21,2,17,3,2,46,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
310,2021/01/10 00:00:00+00,Testing,960916,371094,31993,821,22153,Hospitals,345,34,440,224,216,298,71,2067,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,432,158,93,23,Saint Elizabeths Hospital (SEH-Personnel) ,207,4,51,329,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),92,4,207,75,14,Human Services - DDS,353,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,21,2,17,3,2,46,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
311,2021/01/11 00:00:00+00,Testing,970048,373333,32423,825,22464,Hospitals,345,54,440,209,214,283,69,2120,Public Safety - FEMS,329,60,269,111,171,3296,Public Safety - MPD,519,89,429,73,162,2414,1,Public Safety - DOC - Personnel,157,19,137,0,19,359,1,Public Safety - DOC -Residents,229,3,216,202,205,1273,1,Public Safety - DYRS - Personnel,57,15,41,21,36,205,1,Public Safety - DYRS -Residents,37,16,21,35,51,0,0,Public Safety - OUC -Personnel,31,7,24,8,15,99,Human Services - DHS,437,156,95,23,Saint Elizabeths Hospital (SEH-Personnel) ,207,4,51,329,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),92,4,207,75,14,Human Services - DDS,356,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,21,2,17,3,2,46,2,DCPS Personnel Working In-Person,64,,45,DCPS Students Particpating in In-Person Activities,19,,31
312,2021/01/12 00:00:00+00,Testing,973570,374073,32600,831,22673,Hospitals,345,45,440,209,231,293,59,2118,Public Safety - FEMS,332,64,268,82,146,3324,Public Safety - MPD,524,90,433,60,162,2430,1,Public Safety - DOC - Personnel,159,20,138,0,20,360,1,Public Safety - DOC -Residents,229,2,217,201,203,1272,1,Public Safety - DYRS - Personnel,57,14,42,19,33,208,1,Public Safety - DYRS -Residents,37,16,21,35,51,0,0,Public Safety - OUC -Personnel,31,7,24,5,12,102,Human Services - DHS,437,158,97,23,Saint Elizabeths Hospital (SEH-Personnel) ,211,3,53,333,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),95,3,207,78,14,Human Services - DDS,363,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,21,2,17,3,2,46,2,DCPS Personnel Working In-Person,65,,45,DCPS Students Particpating in In-Person Activities,19,,31
313,2021/01/13 00:00:00+00,Testing,978833,375237,32820,842,22899,Hospitals,345,36,440,208,232,287,74,2179,Public Safety - FEMS,333,65,268,93,158,3343,Public Safety - MPD,527,86,440,73,159,2428,1,Public Safety - DOC - Personnel,163,24,138,0,24,360,1,Public Safety - DOC -Residents,229,2,217,204,206,1052,1,Public Safety - DYRS - Personnel,57,12,44,15,27,214,1,Public Safety - DYRS -Residents,37,16,21,35,51,0,0,Public Safety - OUC -Personnel,31,6,25,6,12,102,Human Services - DHS,437,164,94,23,Saint Elizabeths Hospital (SEH-Personnel) ,213,3,50,343,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),96,8,207,78,14,Human Services - DDS,363,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,22,4,16,4,4,46,2,DCPS Personnel Working In-Person,66,,50,DCPS Students Particpating in In-Person Activities,20,,34
314,2021/01/14 00:00:00+00,Testing,986795,376858,33140,842,23131,Hospitals,345,59,440,210,230,285,71,2168,Public Safety - FEMS,336,65,271,68,133,3200,Public Safety - MPD,533,86,446,76,162,2428,1,Public Safety - DOC - Personnel,165,26,138,0,26,360,1,Public Safety - DOC -Residents,229,2,217,286,288,1175,1,Public Safety - DYRS - Personnel,57,9,47,14,23,219,1,Public Safety - DYRS -Residents,37,16,21,35,51,0,0,Public Safety - OUC -Personnel,35,9,26,9,18,103,Human Services - DHS,438,164,93,23,Saint Elizabeths Hospital (SEH-Personnel) ,213,3,50,343,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),96,8,207,78,14,Human Services - DDS,364,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,22,4,16,4,4,46,2,DCPS Personnel Working In-Person,70,,49,DCPS Students Particpating in In-Person Activities,20,,33
315,2021/01/15 00:00:00+00,Testing,1000492,379319,33537,847,23319,Hospitals,345,68,440,214,226,280,67,2149,Public Safety - FEMS,336,45,291,49,94,3228,Public Safety - MPD,547,91,455,85,176,2427,1,Public Safety - DOC - Personnel,165,26,138,0,26,360,1,Public Safety - DOC -Residents,230,3,217,191,194,1260,1,Public Safety - DYRS - Personnel,58,10,47,14,24,219,1,Public Safety - DYRS -Residents,37,16,21,35,51,0,0,Public Safety - OUC -Personnel,37,10,27,9,19,104,Human Services - DHS,438,134,97,23,Saint Elizabeths Hospital (SEH-Personnel) ,218,3,50,343,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),96,8,207,78,14,Human Services - DDS,364,235,44,Human Services - CFSA,18,10,70,1,DMV Personnel,22,4,16,4,4,46,2,DCPS Personnel Working In-Person,73,,51,DCPS Students Particpating in In-Person Activities,20,,33
